Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,64000,0,0,15,0.44,0.000%,6366.89216,1185.77,1076.29,190.7
TOTAL,64000,0,0,15,0.44,0.000%,6366.89216,1185.77,1076.29,190.7
