Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,64000,13,8,232,4.13,77.270%,3751.68533,776.55,758.35,212.0
TOTAL,64000,13,8,232,4.13,77.270%,3751.68533,776.55,758.35,212.0
